"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount"
"2026-05-02","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","1","requests","0.04","0.04","0.04","0","0","","","","6.303525","0.06303525"
"2026-05-02","math-lish","copilot","coding_agent_premium_request","Coding Agent model","3","requests","0.04","0.12","0.12","0","0","","","","181.49137499999995","1.8149137499999999"
"2026-05-02","math-lish","copilot","copilot_premium_request","Gemini 3.1 Pro","2","requests","0.04","0.08","0.08","0","0","","","","3.6591","0.036591"
"2026-05-09","math-lish","copilot","coding_agent_premium_request","Coding Agent model","1","requests","0.04","0.04","0.04","0","0","","","","464.68675499999995","4.64686755"
"2026-05-10","math-lish","copilot","coding_agent_premium_request","Coding Agent model","2","requests","0.04","0.08","0.08","0","0","","","","412.81885500000016","4.128188550000001"
"2026-05-12","math-lish","copilot","coding_agent_premium_request","Coding Agent model","1","requests","0.04","0.04","0.04","0","0","","","","567.70943","5.6770943"
"2026-05-16","math-lish","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.2","0.2","0","0","","","","691.48316","6.914831599999997"
"2026-05-16","math-lish","copilot","copilot_premium_request","GPT-5.4","1","requests","0.04","0.04","0.04","0","0","","","","0.13419","0.0013419"
"2026-05-17","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","2","requests","0.04","0.08","0.08","0","0","","","","3.51606","0.0351606"
"2026-05-17","math-lish","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","0","","","","29.133625","0.29133625"
"2026-05-17","math-lish","copilot","coding_agent_premium_request","Coding Agent model","1","requests","0.04","0.04","0.04","0","0","","","","94.46374499999999","0.94463745"
"2026-05-17","math-lish","copilot","copilot_premium_request","GPT-5 mini","0","requests","0.04","0","0","0","0","","","","6.507175","0.06507175"
"2026-05-23","math-lish","copilot","copilot_premium_request","GPT-5 mini","0","requests","0.04","0","0","0","0","","","","0.5292","0.005292"
"2026-05-25","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","30","requests","0.04","1.2000000000000004","1.2000000000000004","0","0","","","","1567.5110400000003","15.675110399999998"
"2026-05-25","math-lish","copilot","coding_agent_premium_request","Coding Agent model","2","requests","0.04","0.08","0.08","0","0","","","","132.29715","1.3229715"
"2026-05-29","math-lish","copilot","coding_agent_premium_request","Coding Agent model","2","requests","0.04","0.08","0.08","0","0","","","","64.42482000000001","0.6442481999999999"
